topic_top1,prob_top1,topic_top2,prob_top2,topic_top3,prob_top3,topic_top4,prob_top4,topic_top5,prob_top5,case_id
1,1.0,31,4.260786257596198e-307,11,3.2723109248264644e-307,21,3.1049869688198547e-307,57,2.6853387685917753e-307,cbb82082-5a2c-40be-a26d-059a483573d2
26,0.09158224477411894,41,0.04768223936942562,23,0.02107126691899688,16,0.02029898896035077,19,0.019687396363938993,50651d08-7946-4aac-b25e-523707b728d6
90,1.0,95,1.2671463356999533e-307,93,1.1591787527689409e-307,84,1.0417664565229988e-307,79,9.54315007202499e-308,adc2f565-f3f3-4eed-8374-13a2f1132ec0
58,1.0,67,4.6707926140134616e-307,70,3.640235130117515e-307,45,3.241867598315229e-307,55,3.0892599826032826e-307,2c7280d1-899c-449b-9667-07c9f58d512a
31,1.0,1,3.833033274054908e-307,11,2.1547052481878337e-307,21,1.9355848823139773e-307,13,1.8771301949144744e-307,4847f97b-9913-4ebb-82ec-1cdd8f6ea6ea
36,0.19814393690214938,54,0.039731676794673675,9,0.026856559529654576,51,0.026554763647152268,33,0.024404423610457703,defb2569-8a65-45e6-8852-b3ef6b857db1
0,0.10239370383084487,48,0.06499609681196816,5,0.03468442064777418,61,0.029500752531363243,7,0.027369397159277522,83bbd8a0-1ea8-48b1-8668-78b5115afe46
78,0.11308067421705364,87,0.053263817539833135,83,0.0337568402689876,77,0.025754818470337885,82,0.022408808743831464,adcff1c6-5631-426f-88d9-c53239752e4c
4,0.06779896669482391,45,0.02367358143461514,58,0.021821492307654126,55,0.016724940668142618,67,0.013948514836546383,e5fe80d2-1622-4109-8816-cd4ea9c8996e
54,1.0,36,5.181475571616141e-307,51,4.414082349930801e-307,40,2.728253329940766e-307,27,2.684722773906626e-307,78814c74-a20a-4998-adbe-27cdeb2d4b0a
1,0.1338862379388861,11,0.030364496170624138,57,0.029979952339192966,39,0.02222664115361142,42,0.022207080526772494,7b9846d5-68b5-45ff-a961-f46a7040c047
67,1.0,27,6.1508726508689186e-307,58,5.002854653075601e-307,3,4.999043143092087e-307,28,3.8196475328165996e-307,45f72870-cc98-4631-876e-56688e26c7b2
13,0.08692676020848554,11,0.020299199332863997,39,0.018448970707269235,42,0.01704470296331887,46,0.01436390347797746,407180c5-2c92-4c3b-9a4b-63b0eaefd871
