id,ics_table_id,country,countries_specific_extracted,countries_union_extracted,countries_region_extracted,countries_global_extracted
812,124,MKD,False,True,False,False
813,124,MLI,False,True,False,False
814,124,MLT,False,True,False,False
815,124,MMR,False,True,False,False
816,124,MNE,False,True,False,False
817,124,MNG,False,True,False,False
818,124,MOZ,False,True,False,False
819,124,MRT,False,True,False,False
820,124,MUS,False,True,False,False
821,124,MWI,False,True,False,False
822,124,MYS,False,True,False,False
823,124,NAM,False,True,False,False
824,124,NER,False,True,False,False
825,124,NGA,False,True,False,False
826,124,NIC,False,True,False,False
827,124,NLD,False,True,False,False
828,124,NOR,False,True,False,False
829,124,NPL,False,True,False,False
830,124,NRU,False,True,False,False
831,124,NZL,False,True,False,False
832,124,OMN,False,True,False,False
833,124,PAK,False,True,False,False
834,124,PAN,False,True,False,False
835,124,PER,False,True,False,False
836,124,PHL,False,True,False,False
837,124,PLW,False,True,False,False
838,124,PNG,False,True,False,False
839,124,POL,False,True,False,False
840,124,PRK,False,True,False,False
841,124,PRT,False,True,False,False
842,124,PRY,False,True,False,False
843,124,QAT,False,True,False,False
844,124,ROU,False,True,False,False
845,124,RUS,False,True,False,False
846,124,RWA,False,True,False,False
847,124,SAU,False,True,False,False
848,124,SDN,False,True,False,False
849,124,SEN,False,True,False,False
850,124,SGP,False,True,False,False
851,124,SLB,False,True,False,False
852,124,SLE,False,True,False,False
853,124,SLV,False,True,False,False
854,124,SMR,False,True,False,False
855,124,SOM,False,True,False,False
856,124,SRB,False,True,False,False
857,124,SSD,False,True,False,False
858,124,STP,False,True,False,False
859,124,SUR,False,True,False,False
860,124,SVK,False,True,False,False
861,124,SVN,False,True,False,False
862,124,SWE,False,True,False,False
863,124,SWZ,False,True,False,False
864,124,SYC,False,True,False,False
865,124,SYR,False,True,False,False
866,124,TCD,False,True,False,False
867,124,TGO,False,True,False,False
868,124,THA,False,True,False,False
869,124,TJK,False,True,False,False
870,124,TKM,False,True,False,False
