id,ics_table_id,country
1215,196,BGR
1216,196,HRV
1217,196,CYP
1218,196,CZE
1219,196,DNK
1220,196,EST
1221,196,FIN
1222,196,FRA
1223,196,DEU
1224,196,GRC
1225,196,HUN
1226,196,IRL
1227,196,ITA
1228,196,LVA
1229,196,LTU
1230,196,LUX
1231,196,MLT
1232,196,NLD
1233,196,POL
1234,196,PRT
1235,196,ROU
1236,196,SVK
1237,196,SVN
1238,196,ESP
1239,196,SWE
1240,197,KEN
1241,197,BGD
1242,197,RWA
1243,197,GHA
1244,197,NGA
1245,197,ETH
1246,197,MWI
1247,197,UGA
1248,197,NPL
1249,197,ZMB
1250,197,IND
1251,197,MMR
1252,197,KHM
1253,197,GMB
1254,197,CMR
1255,198,NPL
1256,198,LKA
1257,198,MMR
1258,199,GBR
1259,202,GBR
1260,204,GBR
1261,205,GBR
1262,206,GBR
1263,206,BRA
1264,207,GBR
1265,208,GBR
1266,209,GBR
1267,209,USA
1268,210,GBR
1269,211,GBR
1270,212,GBR
1271,212,USA
1272,212,CHN
1273,212,ITA
1274,212,JPN
1275,212,KOR
1276,212,ESP
1277,213,GBR
1278,213,IND
1279,214,JOR
1280,214,PSE
1281,214,TUN
1282,214,LBN
1283,214,EGY
1284,218,GBR
1285,218,USA
1286,219,GBR
1287,219,CHN
1288,220,GBR
1289,221,GBR
1290,221,USA
1291,221,ZAF
1292,221,NAM
1293,221,ZMB
1294,222,GBR
1295,222,TJK
1296,222,PHL
1297,222,UGA
1298,222,KEN
1299,222,USA
1300,223,GBR
1301,223,DEU
1302,224,GBR
1303,225,GBR
1304,225,USA
1305,229,IND
1306,229,GBR
1307,231,GBR
1308,231,ZAF
1309,232,GBR
1310,234,GBR
1311,235,KAZ
1312,235,MNG
1313,236,GBR
1314,237,GBR
1315,239,CMR
1316,239,GHA
1317,239,KEN
1318,240,USA
1319,240,AUT
1320,240,BEL
1321,240,BGR
1322,240,HRV
1323,240,CYP
1324,240,CZE
1325,240,DNK
1326,240,EST
1327,240,FIN
1328,240,FRA
1329,240,DEU
1330,240,GRC
1331,240,HUN
1332,240,IRL
1333,240,ITA
1334,240,LVA
1335,240,LTU
1336,240,LUX
1337,240,MLT
1338,240,NLD
1339,240,POL
1340,240,PRT
1341,240,ROU
1342,240,SVK
1343,240,SVN
1344,240,ESP
1345,240,SWE
1346,240,GBR
1347,242,GBR
1348,242,IRL
1349,242,AUS
1350,242,NOR
1351,242,CZE
1352,243,GBR
1353,243,NLD
1354,243,DEU
1355,243,SWE
1356,244,GBR
1357,249,COD
1358,251,GBR
1359,252,GBR
1360,252,FRA
