id,ics_table_id,funder
855,395,European Food Standards Agency (EFSA)
856,395,Food Safety Authority for Scotland (FSAS)
857,395,Leverhulme trust
858,395,ESRC
859,396,Royal Academy of Engineering
860,396,European Commission
861,396,European Commission
862,398,TSB 
863,398,Unielectronics Ltd 
864,398,Unielectronics Ltd
865,398,TSB
866,398,TMP Ltd
867,399,Engineering and Physical Sciences Research Council (EPSRC)
868,401,NERC
869,401,Royal Society of Edinburgh Scotland Foundation
870,401,EPSRC
871,406,Northern Ireland Judicial Appointments Commission
872,407,NIHR Health Technology Assessment
873,407,Medical Research Council
874,408,Cancer Research UK
875,409,Castang Foundation
876,409,The Children’s Foundation
877,409,Wellchild
878,411,Innovate UK
879,411,BBSRC
880,411,AB Vista
881,412,Historic England
882,413,BBSRC
883,413, European Research Council
884,413, British Council
885,413, Department of Science and Technology
886,413, Leverhulme Trust Trust
887,413, Wellcome Trust
888,414,A.G. Leventis Foundation
889,416,Heritage Lottery Fund (HLF)
890,416,Oxford University Fell Fund
891,416,Council for British Archaeology
892,417,The Water Trust (ARCSR): UK registered charity (no. 1160565)
893,418,NIHR
894,419,EPSRC
895,419,NERC
896,419,EU
897,419,British Council
898,420,European Commission
899,420,AHRC
900,421,ESRC
901,421,Leverhulme Trust
902,421,AHRC
903,423,Deregallera
904,423,EPSRC
905,423,Solaris
906,424,Science and Technology Facilities Council
907,424,Royal Society
908,424,INTAS
909,425,Royal Academy of Engineering
910,425,Royal Society
911,425,Innovate UK
912,425,Medical Research Council
913,425,Innovate UK
914,425,Engineering and Physical Sciences Research Council
915,426,Engineering and Physical Sciences Research Council
916,427,Templeton World Charity Foundation
917,427,Nuffield Foundation
918,427,Wellcome Trust
919,427,Leverhulme Trust
920,428,Innovate UK  
921,430,Betsi Cadwaladr University Health Board
922,431,European Commission 
923,431,AHRC
924,433,University of Cambridge
925,434,Department of Health
926,434,Wellcome Trust
927,434,NIHR
928,435,Medical Research Council
929,435,Commission of the European Communities
930,435,Bayer Pharma AG
931,435,Newcastle Healthcare Charity
932,435,Cancer Research UK/Imperial Cancer Research Fund
933,435,Bayer Pharma AG
934,435,National Institute for Health Research 
935,435,Cancer Research UK (Catalyst Award)
936,435,Barbour Foundation
937,437,BBSRC - Biotechnology and Biological Sciences Research Council
938,437,British Society of Soil Science
939,437,European Commission
940,437,MASTS -  Marine Alliance for Science and Technology for Scotland
941,437,NERC - Natural Environment Research Council
942,437,Scottish Funding Council
943,437,Scottish Government
944,437,Scottish Natural Heritage
945,437,The Royal & Ancient Golf Club of St Andrews
946,437,University of Glasgow
947,438,IUCN
